66,Hudson Bay Airport,Hudson Bay,Canada,YHB,52.8166999817,-102.310997009
67,Dryden Regional Airport,Dryden,Canada,YHD,49.8316993713,-92.7442016602
68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.762802124,-117.8059997559
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597229,-95.8497009277
70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.1735992432,-79.9349975586
71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.5175018311,-73.4169006348
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.8396987915,-115.782997131
73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.8807983398,-63.5085983276
74,Atikokan Municipal Airport,Atikokan,Canada,YIB,48.7738990784,-91.6386032104
75,Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962036,-77.9666976929
76,St Jean Airport,St. Jean,Canada,YJN,45.2943992615,-73.2810974121
77,Stephenville Airport,Stephenville,Canada,YJT,48.5442008972,-58.5499992371
78,Kamloops Airport,Kamloops,Canada,YKA,50.7022018433,-120.444000244
79,Waterloo Airport,Waterloo,Canada,YKF,43.4608001709,-80.3786010742
80,Schefferville Airport,Schefferville,Canada,YKL,54.8053016663,-66.8052978516
81,Kindersley Airport,Kindersley,Canada,YKY,51.5175018311,-109.180999756
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,43.8622016907,-79.3700027466
83,Chapleau Airport,Chapleau,Canada,YLD,47.8199996948,-83.3467025757
84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.1253013611,-108.5230026245
85,Lloydminster Airport,Lloydminster,Canada,YLL,53.3092002869,-110.0729980469
86,Alert Airport,Alert,Canada,YLT,82.5177993774,-62.2806015015
87,Kelowna International Airport,Kelowna,Canada,YLW,49.9561004639,-119.377998352
88,Mayo Airport,Mayo,Canada,YMA,63.6164016724,-135.8679962158
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.3302993774,-105.5589981079
